商区名称,评论总和,评论平均数,商铺总和,经度,纬度
徐泾,28937.0,81.28370786516854,356,121.27638992696633,31.17113334550561
凤溪,154.0,2.6551724137931036,58,121.23276782758622,31.197290396551725
金汇镇,512.0,1.1130434782608696,460,121.5047118608695,30.9877059326087
奉城镇,1565.0,4.968253968253968,315,121.63864666666673,30.925440228571414
南桥,66383.0,147.19068736141907,451,121.4715448159645,30.918548709534367
西渡,3320.0,9.67930029154519,343,121.43698380466476,30.98780846064142
环城东路,1389.0,13.485436893203884,103,121.47058486407767,30.916725660194167
易买得,7599.0,96.18987341772151,79,121.45012156962024,30.948927734177225
百联南桥购物中心,26695.0,87.23856209150327,306,121.48125693790838,30.919697169934718
环城南路,355.0,2.8174603174603177,126,121.46913074603172,30.90927250793651
正阳世纪星城,1112.0,33.696969696969695,33,121.4785669090909,30.93405148484848
新都汇,5326.0,11.888392857142858,448,121.45714540848222,30.938498906249997
南桥新城区,1770.0,104.11764705882354,17,121.4920134117647,30.92337911764706
海湾旅游区,6990.0,78.53932584269663,89,121.53322988764045,30.83250146067417
庄行镇,1871.0,3.536862003780718,529,121.40473009073736,30.907644973534975
柘林镇,514.0,1.0982905982905984,468,121.47381271367517,30.83457017948717
金山万达,14771.0,149.2020202020202,99,121.34820752525249,30.79609514141413
廊下,916.0,2.267326732673267,404,121.20329992079206,30.813750900990097
金山卫,45124.0,120.01063829787235,376,121.34536778723407,30.751186885638294
卫零路,649.0,3.625698324022346,179,121.33726230726256,30.727031
蒙山路,359.0,2.0994152046783627,171,121.31603198245608,30.727568426900604
卫清路,3708.0,16.931506849315067,219,121.34322279908666,30.733751881278547
金山嘴,2746.0,48.175438596491226,57,121.38180496491225,30.748863473684203
朱泾,7458.0,32.56768558951965,229,121.17086987772927,30.896312139737976
石化,3694.0,8.987834549878345,411,121.34508608515792,30.721391430656936
金山新城,444.0,6.9375,64,121.35685810937503,30.759830625000017
朱行,328.0,0.7305122494432071,449,121.3443107060134,30.85720710022269
枫泾,7577.0,28.484962406015036,266,121.02771825563917,30.900569030075175
亭林,554.0,1.2256637168141593,452,121.32634506415924,30.896019249999995
崇明区其他,148538.0,336.8208616780045,441,121.55000555328803,31.559538385487507
城桥镇,6.0,2.0,3,121.41400499999999,31.629874666666666
堡镇,29.0,14.5,2,121.6508225,31.537332
新河镇,127.0,8.466666666666667,15,121.52576033333335,31.59485333333334
庙镇,28.0,9.333333333333334,3,121.34738066666667,31.710993000000002
竖新镇,52.0,10.4,5,121.58739619999999,31.588064600000003
向化镇,21.0,21.0,1,121.702535,31.512534
三星镇,1.0,0.2,5,121.2873762,31.7415524
港沿镇,30.0,5.0,6,121.65347183333331,31.58384716666667
中兴镇,26.0,26.0,1,121.801566,31.570914
陈家镇,846.0,846.0,1,121.776869,31.518138
绿华镇,93.0,93.0,1,121.235192,31.725356
港西镇,25.0,25.0,1,121.385426,31.685122
建设镇,5.0,1.25,4,121.4528375,31.65287625
新海镇,1.0,1.0,1,121.296288,31.818264
东平镇,0.0,0.0,1,121.545888,31.67658
长兴镇,72.0,72.0,1,121.74881,31.388
新村乡,2.0,2.0,1,121.325689,31.832584
